,Balls of Chaos,Bumblebees,Crazy Cat's Eyes,Green Ducks,Hazers,Hornets,Mellow Yellow,Midnight Wisps,Minty Maniacs,O'rangers,Oceanics,Raspberry Racers,Savage Speeders,Team Galactic,Team Momo,Thunderbolts
E1,4,8,5,9,7,12,16,3,1,10,10,2,14,15,6,13
E2,13,10,2,12,8,7,11,4,3,1,16,9,15,5,6,14
E3,5,7,6,4,10,12,15,11,1,2,13,9,3,14,16,8
E4,13,8,4,10,7,15,16,5,6,1,12,3,9,2,11,14
E5,2,14,1,13,10,16,3,11,8,12,6,15,4,7,8,5
E6,15,10,4,16,9,7,14,2,8,6,13,1,3,5,12,11
E7,13,15,7,9,16,8,10,1,14,3,12,6,4,5,2,11
E8,13,14,12,15,1,4,16,6,10,3,9,11,7,5,2,7
E9,15,8,7,16,2,13,5,10,3,12,1,11,4,9,6,14
E10,13,9,12,6,5,16,15,11,1,10,2,4,3,7,14,8
E11,14,12,3,4,13,11,8,2,16,6,10,15,1,5,9,7
E12,9,13,16,10,7,8,14,11,15,2,3,4,1,5,6,12
E13,8,2,11,5,13,6,3,12,9,1,14,15,16,4,7,10
E14,15,8,13,7,3,10,16,1,9,11,6,5,2,14,4,12
E15,12,13,10,6,4,11,7,5,3,16,7,15,1,9,14,2
E16,6,5,3,13,12,14,2,8,1,11,7,16,9,4,10,15
